A,Code,Name,City,Country,LA1,LA2,LA3,LA4,LO1,LO2,LO3,LO4,Alt,Lat,Long
ULAL,0000,0000,LESHUKONSKOYE,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
ULAM,0000,0000,NARYAN-MAR,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
ULLI,LED,PULKOVO,ST. PETERSBURG,RUSSIA,059,048,000,N,030,015,054,E,00025,59.800,30.265
ULMM,MMK,MURMANSK,MURMANSK,RUSSIA,068,046,054,N,032,045,002,E,00082,68.782,32.751
ULOL,0000,0000,VELIKIYE LUKI,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
ULPP,0000,0000,PETROZAVODSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
ULTT,TLL,0000,TALLINN,ESTONIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
ULWB,0000,0000,BELOZYORSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
ULWT,0000,0000,TOTMA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
ULWW,0000,0000,VOLOGDA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UMGG,GME,GOMEL,GOMEL,RUSSIA,052,031,037,N,031,001,000,E,00144,52.527,31.017
UMII,VTB,VITEBSK,VITEBSK,RUSSIA,055,010,000,N,030,008,000,E,00047,55.167,30.133
UMKK,KGD,KHRABROVO,KALININGRAD,RUSSIA,054,053,024,N,020,035,033,E,00014,54.890,20.592
UMMM,MHP,MINSK 1,MINSK,RUSSIA,053,051,052,N,027,032,022,E,00229,53.864,27.539
UMMS,MSQ,MINSK 2,MINSK 2,RUSSIA,053,052,056,N,028,001,050,E,00204,53.882,28.031
UMRG,0000,0000,ERGLI,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UMRR,RIX,0000,RIGA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UMRW,0000,0000,VENTSPLIS,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UMWW,VNO,0000,VILNIUS,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UNAA,ABA,ABAKAN,ABAKAN,RUSSIA,053,044,024,N,091,023,006,E,00254,53.740,91.385
UNBB,BAX,BARNAUL,BARNAUL,RUSSIA,053,021,050,N,083,032,031,E,00256,53.364,83.542
UNEE,KEJ,KEMEROVO,KEMOROVO,RUSSIA,055,016,011,N,086,006,025,E,00264,55.270,86.107
UNIB,0000,0000,BAYKIT,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UNII,0000,0000,YENISEYSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UNIP,0000,0000,PODKAMENAYA TUNGUSKA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UNIS,0000,0000,SOVETSKY RUDNIK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UNIT,0000,0000,TURA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UNIW,0000,0000,VANAVARA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UNKE,0000,0000,KEZHMA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UNKK,KJA,0000,KRASNOYARSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UNKY,KYZ,0000,KYZYL,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UNLL,0000,0000,KOLPASHEVO,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UNLW,0000,0000,NOVY VASYUGAN,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UNNN,OVB,0000,NOVOSIBIRSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UNOO,OMS,TSENTRALNY,OMSK,RUSSIA,054,058,001,N,073,018,036,E,00096,54.967,73.310
UNWW,NOZ,0000,NOVOKUZNETSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UOAA,0000,0000,AMDERMA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UOHH,0000,0000,KHATANGA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UOTT,0000,0000,TURUKHANSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
URKK,KRR,PASHKOVSKY,KRASNODAR,RUSSIA,045,002,006,N,039,010,018,E,00036,45.035,39.172
URMK,0000,0000,KISLOVODSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
URML,MCX,UYTASH,MAKHACHKALA,RUSSIA,042,049,000,N,047,039,008,E,00004,42.817,47.652
URMM,MRV,MINERALNYYE VODY,MINERALNYE VODY,RUSSIA,044,013,030,N,043,004,054,E,00321,44.225,43.082
URMT,STW,SHPAKOVSKOYE,STAVROPOL,RUSSIA,045,006,033,N,042,006,046,E,00453,45.109,42.113
URRM,0000,0000,MOROZOVSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
URRR,ROV,ROSTOV NA DONU,ROSTOV,RUSSIA,047,015,029,N,039,049,004,E,00086,47.258,39.818
URSS,AER,SOCHI,SOCHI,RUSSIA,043,026,045,N,039,056,051,E,00028,43.446,39.947
URWA,ASF,ASTRAKHAN,ASTRAKHAN,RUSSIA,046,017,000,N,048,000,022,E,-0019,46.283,48.006
